,Currency_x,time_period_end,price_open_x,price_high_x,price_low_x,price_close_x,volume_traded_x,trades_count_x,Currency_y,price_open_y,price_high_y,price_low_y,price_close_y,volume_traded_y,trades_count_y,Open_x,High_x,Low_x,Close_x,Adj Close_x,Volume_x,Currency_x,price_open_x,price_high_x,price_low_x,price_close_x,volume_traded_x,trades_count_x,Open_y,High_y,Low_y,Close_y,Adj Close_y,Volume_y,Currency_y,price_open_y,price_high_y,price_low_y,price_close_y,volume_traded_y,trades_count_y,Open_x,High_x,Low_x,Close_x,Adj Close_x,Volume_x,Open_y,High_y,Low_y,Close_y,Adj Close_y,Volume_y,Open,High,Low,Close,Adj Close,Volume
0,BTC,2014-01-06,732.0,1029.98765,728.0,904.0,265468.94161991,399643.0,,,,,,,,,,,,,,LTC,23.5,28.75,23.49,26.252,73975.25424166,5945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BTC,2014-01-13,903.297,1093.68199,720.0,835.49,528519.66123563,800027.0,,,,,,,,,,,,,,LTC,26.45,32.0,20.4,24.552,148387.3014172,11125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BTC,2014-01-20,835.49,973.2,765.0,835.9,250720.70349184,383336.0,,,,,,,,,,,,,,LTC,24.55,24.95,22.45,24.2,42141.89791622,3988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BTC,2014-01-27,836.0,1038.15894,731.0,817.802,216735.46467668,283022.0,,,,,,,,,,,,,,LTC,24.249000000000002,24.6,19.0,22.05975102,72882.32780091,5523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BTC,2014-02-03,817.802,1022.0,725.0,814.0,247780.20630799,287406.0,,,,,,,,,,,,,,LTC,22.11,22.75,19.04,22.2,71103.81518769999,4751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BTC,2014-02-10,796.0,960.0,619.0,697.5,442085.13289037,395505.0,,,,,,,,,,,,,,LTC,22.2,22.28,16.99,18.23,231317.22826251,7417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BTC,2014-02-17,697.5,761.6646,100.0,625.0,960861.09686892,594805.0,,,,,,,,,,,,,,LTC,18.25,19.03999999,14.0,15.94,117588.7207023,5588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BTC,2014-02-24,299.72277,679.05833,91.5,598.002,797405.5516794,673626.0,,,,,,,,,,,,,,LTC,15.691001000000002,16.74,13.9,15.634,83675.60096085,4748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BTC,2014-03-03,598.002,650.0,101.62872,554.003,776137.4343014,569921.0,,,,,,,,,,,,,,LTC,15.602,15.64899899,10.71000001,12.78,124682.59974034,10086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BTC,2014-03-10,565.38,720.0,550.42,630.497,401539.48382359993,446676.0,,,,,,,,,,,,,,LTC,13.077998,19.16,11.350999999999999,16.49,168663.7886264,9266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BTC,2014-03-17,627.024,684.5,550.0,634.99,144622.83777118,214835.0,,,,,,,,,,,,,,LTC,16.3,17.9,15.63,17.6,49077.70150444,4767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BTC,2014-03-24,624.89,646.0,537.11,568.0,203736.16956719,234303.0,,,,,,,,,,,,,,LTC,17.59999999,20.9,15.0,15.415,339113.00079038,14939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BTC,2014-03-31,558.22,641.1414900000001,423.92,447.75,381166.88676706,395286.0,,,,,,,,,,,,,,LTC,15.43,16.75,12.5101,13.008,212380.57935309,11796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,BTC,2014-04-07,465.028,550.0,386.51,463.06,391005.13313632,499679.0,,,,,,,,,,,,,,LTC,12.98,14.5,10.312999999999999,11.75,210303.61012758,8807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,BTC,2014-04-14,463.07,583.75327,325.0,411.99699999999996,445175.95011977,466039.0,,,,,,,,,,,,,,LTC,11.74,11.96989999,8.3,10.5,276610.78174048,13497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BTC,2014-04-21,417.6,573.66927,401.134,496.25,455434.28171716,415652.0,,,,,,,,,,,,,,LTC,10.5,14.1999,10.0001,12.4052,267860.53399462,13012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BTC,2014-04-28,489.53,524.69,425.4,430.0,235528.36212422,217346.0,,,,,,,,,,,,,,LTC,12.4895,13.2499,9.7115,10.0,1557336.0100596,110212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BTC,2014-05-05,430.0,465.88,412.971,435.05,186710.09699644,199855.0,,,,,,,,,,,,,,LTC,9.77,11.49,9.60235,10.47,1317011.89614689,106818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,BTC,2014-05-12,438.58799899,459.65,411.39099999999996,434.8,156141.30214839,156351.0,,,,,,,,,,,,,,LTC,10.2621,11.232000000000001,9.72,10.3,974847.19173051,75335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
